Job ID,Title,Company,Location,Description,Date
3805674496,Senior Machine Learning Engineer (Based in Bangkok - Relocation Provided),Honest,"Lisbon, Portugal (On-site)","Senior Machine Learning Engineer (Based in Bangkok - Relocation Provided)
Honest
Lisbon, Portugal (On-site)
Actively recruiting
Promoted
4 applicants",2024/01/21
3797196220,Data Engineer,Inspirit365,Greater Oslo Region (On-site),"Data Engineer
Inspirit365
Greater Oslo Region (On-site)
Promoted",2024/01/21
3809179398,Data scientist H/F,Abylsen,"Grenoble, Auvergne-Rhône-Alpes, France (Hybrid)","Data scientist H/F
Abylsen
Grenoble, Auvergne-Rhône-Alpes, France (Hybrid)
Actively recruiting
Promoted
18 applicants",2024/01/21
3805312177,Junior Data Analyst,DiamondWeb S.p.A. - Digital Company per le PMI,"Turin, Piedmont, Italy (On-site)","Junior Data Analyst
DiamondWeb S.p.A. - Digital Company per le PMI
Turin, Piedmont, Italy (On-site)
Response time is typically 1-2 weeks
Promoted
Easy Apply",2024/01/21
3800682081,Stage - Data Scientist (F/H),Michelin,"Clermont-Ferrand, Auvergne-Rhône-Alpes, France","Stage - Data Scientist (F/H)
Michelin
Clermont-Ferrand, Auvergne-Rhône-Alpes, France
Actively recruiting
Promoted",2024/01/21
3807574691,Data Analytics Intern,Otrium,"Amsterdam, North Holland, Netherlands (On-site)","Data Analytics Intern
Otrium
Amsterdam, North Holland, Netherlands (On-site)
Actively recruiting
Promoted",2024/01/21
3805737141,"Manager, Data Science & Analytics",WP Engine,"Waterford, County Waterford, Ireland (Hybrid)","Manager, Data Science & Analytics
WP Engine
Waterford, County Waterford, Ireland (Hybrid)
Actively recruiting
Promoted
1 applicant",2024/01/14
3797377064,Data Scientist (Banking),NORRIQ Financial Services,"Brussels, Brussels Region, Belgium (Hybrid)","Data Scientist (Banking)
NORRIQ Financial Services
Brussels, Brussels Region, Belgium (Hybrid)
Response time is typically 4 days
Promoted
Easy Apply",2024/01/14
3800580595,Data Solutions Architect,Insight,"Apeldoorn, Gelderland, Netherlands (Hybrid)","Data Solutions Architect
Insight
Apeldoorn, Gelderland, Netherlands (Hybrid)
Actively recruiting
Promoted
4 applicants",2024/01/14
3784972769,Consultant(e) Data Virtualisation F/H,CGI,"Montpellier, Occitanie, France","Consultant(e) Data Virtualisation F/H
CGI
Montpellier, Occitanie, France
Actively recruiting
Promoted
11 applicants",2024/01/14
3806140673,Quantitative Analyst,AppliSquare,"Kortrijk, Flemish Region, Belgium (On-site)","Quantitative Analyst
AppliSquare
Kortrijk, Flemish Region, Belgium (On-site)
Response time is typically 4 days
Promoted
19 applicants
Easy Apply",2024/01/14
3800950430,Data Scientist,Vivid Technology / VTC,"Dublin, County Dublin, Ireland (On-site)","Data Scientist
Vivid Technology / VTC
Dublin, County Dublin, Ireland (On-site)
€50K/yr - €100K/yr
Response time is typically 2 weeks
Promoted
Easy Apply",2024/01/14
3802690362,Data Analyst (They/She/He),Glovo,"Barcelona, Catalonia, Spain (Hybrid)","Data Analyst (They/She/He)
Glovo
Barcelona, Catalonia, Spain (Hybrid)
Actively recruiting
Promoted",2024/01/14
3800677525,Data Engineer Internship,Swapfiets,"Amsterdam, North Holland, Netherlands (Hybrid)","Data Engineer Internship
Swapfiets
Amsterdam, North Holland, Netherlands (Hybrid)
Promoted",2024/01/14
3805437267,Analytics Junior Consultant,Horsa,"Bologna, Emilia-Romagna, Italy (On-site)","Analytics Junior Consultant
Horsa
Bologna, Emilia-Romagna, Italy (On-site)
Actively recruiting
Promoted
Easy Apply",2024/01/14
3809711006,(Junior) Data Science Consultant (all genders),Accenture DACH,"Kronberg, Hesse, Germany (On-site)","(Junior) Data Science Consultant (all genders)
Accenture DACH
Kronberg, Hesse, Germany (On-site)
Actively recruiting
Promoted
9 applicants",2024/01/14
3805384924,Data Analytics Manager - Safer Gaming H/F,Betclic Group,"Bordeaux, Nouvelle-Aquitaine, France (Hybrid)","Data Analytics Manager - Safer Gaming H/F
Betclic Group
Bordeaux, Nouvelle-Aquitaine, France (Hybrid)
Promoted
0 applicants",2024/01/21
3794692194,Data Scientist,ADENTIS Portugal,"Porto, Portugal (Hybrid)","Data Scientist
ADENTIS Portugal
Porto, Portugal (Hybrid)
Actively recruiting
Promoted
Easy Apply",2024/01/21
3795398158,Data Scientist,Wrike,"Nicosia, Nicosia, Cyprus","Data Scientist
Wrike
Nicosia, Nicosia, Cyprus
Actively recruiting
Promoted",2024/01/21
3804608305,Senior / Lead Data Scientist (Statistical modeling),EPAM Systems,Latvia (Remote),"Senior / Lead Data Scientist (Statistical modeling)
EPAM Systems
Latvia (Remote)
Actively recruiting
Promoted
1 applicant",2024/01/21
3807143645,PhD Student (f/m/d) - for sustainable AI,SAP,"Walldorf, Baden-Württemberg, Germany (Hybrid)","PhD Student (f/m/d) - for sustainable AI
SAP
Walldorf, Baden-Württemberg, Germany (Hybrid)
Actively recruiting
Promoted
5 applicants",2024/01/21
3802762434,Inżynier AI/ML,Comarch,"Łódź, Łódzkie, Poland (Hybrid)","Inżynier AI/ML
Comarch
Łódź, Łódzkie, Poland (Hybrid)
Actively recruiting
Promoted
5 applicants",2024/01/21
3798125782,"Marketing Scientist, Advanced Solutions",GfK - An NIQ Company,"Bucharest, Bucharest, Romania (On-site)","Marketing Scientist, Advanced Solutions
GfK - An NIQ Company
Bucharest, Bucharest, Romania (On-site)
Actively recruiting
Promoted
5 applicants",2024/01/21
3802983142,Online Data Analyst,TELUS International,"Ghent, Flemish Region, Belgium (Remote)","Online Data Analyst
TELUS International
Ghent, Flemish Region, Belgium (Remote)
Actively recruiting
Promoted
6 applicants",2024/01/21
3798629037,Junior Data Engineer,Findomestic Banca,"Florence, Tuscany, Italy (Hybrid)","Junior Data Engineer
Findomestic Banca
Florence, Tuscany, Italy (Hybrid)
Promoted",2024/01/21
3807124693,Senior Data Engineer,Lighthouse,Greater Madrid Metropolitan Area (Hybrid),"Senior Data Engineer
Lighthouse
Greater Madrid Metropolitan Area (Hybrid)
Actively recruiting
Promoted
1 applicant",2024/01/21
3800421897,Data Platform Administrator - Data Solutions,Cegeka,"Flemish Region, Belgium (Hybrid)","Data Platform Administrator - Data Solutions
Cegeka
Flemish Region, Belgium (Hybrid)
Actively recruiting
Promoted
1 applicant",2024/01/14
3801913121,Senior Data engineer F/M,ACC - Automotive Cells Company,"Bordeaux, Nouvelle-Aquitaine, France (On-site)","Senior Data engineer F/M
ACC - Automotive Cells Company
Bordeaux, Nouvelle-Aquitaine, France (On-site)
Actively recruiting
Promoted
6 applicants",2024/01/14
3798656024,Consultant Data Analytics - Consulting (Financial Services) (w/m/d),EY,"Stuttgart, Baden-Württemberg, Germany (On-site)","Consultant Data Analytics - Consulting (Financial Services) (w/m/d)
EY
Stuttgart, Baden-Württemberg, Germany (On-site)
Actively recruiting
Promoted
4 applicants",2024/01/14
3807277409,Jeune Docteur(e) Intelligence Artificielle H/F (CDI),Picomto,"La Madeleine, Hauts-de-France, France (On-site)","Jeune Docteur(e) Intelligence Artificielle H/F (CDI)
Picomto
La Madeleine, Hauts-de-France, France (On-site)
Response time is typically 4 days
Promoted
17 applicants
Easy Apply",2024/01/14
3808178008,Data Analyst & Visualization Expert,Beobank NV/SA,"Brussels Region, Belgium (Hybrid)","Data Analyst & Visualization Expert
Beobank NV/SA
Brussels Region, Belgium (Hybrid)
Promoted
1 applicant",2024/01/14
3798678068,Ormit Talent - Data Traineeship,Ormit Talent Belgium,"Brussels, Brussels Region, Belgium (On-site)","Ormit Talent - Data Traineeship
Ormit Talent Belgium
Brussels, Brussels Region, Belgium (On-site)
Promoted
4 applicants",2024/01/14
3802135695,Data Analyst/Scientist,Shuttel,"Amersfoort, Utrecht, Netherlands (On-site)","Data Analyst/Scientist
Shuttel
Amersfoort, Utrecht, Netherlands (On-site)
Response time is typically 4 days
Promoted
Easy Apply",2024/01/14
3804518912,Data Analyst,European Climate Foundation,Brussels Metropolitan Area (On-site),"Data Analyst
European Climate Foundation
Brussels Metropolitan Area (On-site)
Promoted
23 applicants",2024/01/14
3803666531,Junior Data Scientist,Frank Recruitment Group,"Barcelona, Catalonia, Spain (Hybrid)","Junior Data Scientist
Frank Recruitment Group
Barcelona, Catalonia, Spain (Hybrid)
Actively recruiting
Promoted
Easy Apply",2024/01/14
3810226746,Data Science Intern,SAS,"Madrid, Community of Madrid, Spain (Hybrid)","Data Science Intern
SAS
Madrid, Community of Madrid, Spain (Hybrid)
Actively recruiting
Promoted",2024/01/14
3803333261,Data Scientist (L5) - Promotional Media - EMEA,Netflix,"Amsterdam, North Holland, Netherlands","Data Scientist (L5) - Promotional Media - EMEA
Netflix
Amsterdam, North Holland, Netherlands
Actively recruiting
Promoted",N/A
3803773094,Data Scientist,Alkemy enabling evolution,"Milan, Lombardy, Italy (Hybrid)","Data Scientist
Alkemy enabling evolution
Milan, Lombardy, Italy (Hybrid)
Actively recruiting
Promoted
Easy Apply",N/A
3796925254,Data Scientist,DeepRec.ai,"Berlin, Germany (Hybrid)","Data Scientist
DeepRec.ai
Berlin, Germany (Hybrid)
Response time is typically 4 days
Promoted
Easy Apply",N/A
3804034063,Data Scientist - SAS Specialist,BIP,"Padua, Veneto, Italy (Hybrid)","Data Scientist - SAS Specialist
BIP
Padua, Veneto, Italy (Hybrid)
Actively recruiting
Promoted
6 applicants",N/A
3803579982,AI Data Scientist ,Stibo DX,"Aarhus, Middle Jutland, Denmark (On-site)","AI Data Scientist 
Stibo DX
Aarhus, Middle Jutland, Denmark (On-site)
Response time is typically 1-2 weeks
Promoted
Easy Apply",N/A
3805430626,Data Scientist,Creative Clicks,"Amsterdam, North Holland, Netherlands (Hybrid)","Data Scientist
Creative Clicks
Amsterdam, North Holland, Netherlands (Hybrid)
Actively recruiting
Promoted
16 applicants",N/A
3802253282,Data Scientist,Todai,Copenhagen Metropolitan Area (On-site),"Data Scientist
Todai
Copenhagen Metropolitan Area (On-site)
Promoted",N/A
3800580842,Data Analyst - Data Intelligence,trivago,"Düsseldorf, North Rhine-Westphalia, Germany (Hybrid)","Data Analyst - Data Intelligence
trivago
Düsseldorf, North Rhine-Westphalia, Germany (Hybrid)
Promoted",N/A
3802113968,Data Scientist,Arbolus,"Barcelona, Catalonia, Spain (On-site)","Data Scientist
Arbolus
Barcelona, Catalonia, Spain (On-site)
Actively recruiting
Promoted",N/A
3804562914,QA Engineer,Heex Technologies,"Paris, Île-de-France, France (On-site)","QA Engineer
Heex Technologies
Paris, Île-de-France, France (On-site)
Applicant review time is typically 2 days
Promoted
Easy Apply",N/A
3800252077,Data Engineer,ESTO Group,"Tallinn, Harjumaa, Estonia (Hybrid)","Data Engineer
ESTO Group
Tallinn, Harjumaa, Estonia (Hybrid)
Promoted
Easy Apply",2024/01/14
3799967981,AI Data Scientist ,Stibo DX,"Oslo, Norway (On-site)","AI Data Scientist 
Stibo DX
Oslo, Norway (On-site)
Response time is typically 1-2 weeks
Promoted
Easy Apply",2024/01/14
3794686486,Business Intelligence Analyst – Cutting-edge New iGaming Operator – Remotely-based: Europe,10 Ten Gaming LLC,Malta (Remote),"Business Intelligence Analyst – Cutting-edge New iGaming Operator – Remotely-based: Europe
10 Ten Gaming LLC
Malta (Remote)
Actively recruiting
Promoted
Easy Apply",2024/01/14
3806772824,Product Owner,AdTech Holding,"Limassol, Cyprus (On-site)","Product Owner
AdTech Holding
Limassol, Cyprus (On-site)
Promoted
19 applicants
Easy Apply",2024/01/14
3806856848,Salesforce Technical Consultant,Ink Consulting,Brussels Metropolitan Area (Hybrid),"Salesforce Technical Consultant
Ink Consulting
Brussels Metropolitan Area (Hybrid)
Applicant review time is typically 4 days
Promoted
7 applicants
Easy Apply",2024/01/14
3807110824,Senior Python Developer,Javra Software,"Lisbon, Portugal (Hybrid)","Senior Python Developer
Javra Software
Lisbon, Portugal (Hybrid)
Actively recruiting
Promoted
15 applicants
Easy Apply",2024/01/14
3804175359,Data Scientist - Intern,Qlik,"Suresnes, Île-de-France, France (Hybrid)","Data Scientist - Intern
Qlik
Suresnes, Île-de-France, France (Hybrid)
Actively recruiting
Promoted",2024/01/14
3804555922,Lead Data Engineer - Lyon - F/H,Niji,"Lyon, Auvergne-Rhône-Alpes, France (On-site)","Lead Data Engineer - Lyon - F/H
Niji
Lyon, Auvergne-Rhône-Alpes, France (On-site)
Your profile matches this job
Promoted
2 applicants",2024/01/14
742849203,Social Robot Developer,WELBO - Welcome robots to your team,"Zaandam, North Holland, Netherlands (On-site)","Social Robot Developer
WELBO - Welcome robots to your team
Zaandam, North Holland, Netherlands (On-site)
Response time is typically 4 days
Promoted
11 applicants
Easy Apply",2024/01/14
3803050146,Data Scientist,ADENTIS Italia,Italy (Remote),"Data Scientist
ADENTIS Italia
Italy (Remote)
Applicant review time is typically 4 days
Promoted
Easy Apply",2024/01/21
3809560081,Berater*in für Daten- & KI-Strategie,Birds on Mars,"Berlin, Germany (Hybrid)","Berater*in für Daten- & KI-Strategie
Birds on Mars
Berlin, Germany (Hybrid)
Response time is typically 4 days
Promoted
7 applicants
Easy Apply",2024/01/21
3799043076,Data Engineer Confirmé,Rayn,"Biot, Provence-Alpes-Côte d'Azur, France (Hybrid)","Data Engineer Confirmé
Rayn
Biot, Provence-Alpes-Côte d'Azur, France (Hybrid)
Applicant review time is typically 3 days
Promoted
Easy Apply",2024/01/21
3805377088,Architetto,IBM Engineering S.r.l.,"Rovereto, Trentino-Alto Adige, Italy (On-site)","Architetto
IBM Engineering S.r.l.
Rovereto, Trentino-Alto Adige, Italy (On-site)
Applicant review time is typically 2 days
Promoted
5 applicants
Easy Apply",2024/01/21
3797660855,Office Manager - CDI (H/F),Descartes Underwriting,"Paris, Île-de-France, France (Hybrid)","Office Manager - CDI (H/F)
Descartes Underwriting
Paris, Île-de-France, France (Hybrid)
Response time is typically 1 week
Promoted
Easy Apply",2024/01/21
3806475633,Data Scientist,Rover.com,"Barcelona, Catalonia, Spain (Hybrid)","Data Scientist
Rover.com
Barcelona, Catalonia, Spain (Hybrid)
Actively recruiting
Promoted",2024/01/21
3796827548,Data Engineer,Cogetix,"Kapellen, Flemish Region, Belgium (On-site)","Data Engineer
Cogetix
Kapellen, Flemish Region, Belgium (On-site)
Response time is typically 4 days
Promoted
Easy Apply",2024/01/21
3786707521,(Senior) Data Scientist (all genders),adesso SE,"Coblenz, Rhineland-Palatinate, Germany (On-site)","(Senior) Data Scientist (all genders)
adesso SE
Coblenz, Rhineland-Palatinate, Germany (On-site)
Actively recruiting
Promoted
2 applicants",2024/01/21
3801249586,Data Scientist,Isotrol,"Seville, Andalusia, Spain (Hybrid)","Data Scientist
Isotrol
Seville, Andalusia, Spain (Hybrid)
Actively recruiting
Promoted
Easy Apply",2024/01/21
3801234025,Data Scientist,Bitrock,Italy (Remote),"Data Scientist
Bitrock
Italy (Remote)
Promoted
Easy Apply",2024/01/21
